10.1.1.1,test3.hrecordtest.com
10.5.38.221,visit.hyundai-wia.co.kr
10.5.38.237,mgems.wia.co.kr
10.5.38.240,mms.hyundai-wia.com
10.5.40.21,gaos.glovis.net
10.5.40.24,glapscarqa.glovis.net
10.5.40.25,glapscarappqa.glovis.net
10.5.40.26,rotos.glovis.net
10.5.40.27,kd.glovis.net
10.5.40.28,glaps.glovis.net
10.5.40.40,secdrive.glovis.net
10.5.40.64,www.glovis.net
10.5.40.76,glapscar.glovis.net
10.5.40.85,our.glovis.net
10.5.40.89,tableau.glovis.net
10.5.40.123,credit.glovis.net
10.5.40.156,remote.glovis.net
10.5.40.203,glapscarapp.glovis.net
10.5.41.137,devaeo.glovis.net
10.5.41.174,devkdcustomer.glovis.net
10.5.41.217,devdcspartner.glovis.net
10.5.46.21,sso.hyundai-transys.com
10.5.46.31,sso.tranixcorp.com
10.5.46.34,tpos.hyundai-transys.com
10.5.46.65,rsup.hyundai-transys.com
10.5.46.111,hr.tranixcorp.com
10.5.46.159,schedule.hyundai-transys.com
10.5.46.163,tgqms.hyundai-transys.com
10.5.46.164,ga.tranixcorp.com
10.5.46.167,chatbotimg.hyundai-transys.com
10.5.46.170,isms.tranixcorp.com
10.5.50.61,autowayif.bngsteel.com
10.5.50.196,mehs.bngsteel.com
10.5.51.175,devb2b.bngsteel.com
10.5.60.158,hyundai-itc.com
10.5.60.230,gps.hyundai-itc.com
10.5.62.131,hyundai-ngv.com
10.5.62.140,edu.hyundai-ngv.com
10.5.62.171,hyundai-ngv.com
10.5.68.174,www.hyundai-imc.com
10.5.70.152,rhgrs.haevichi.com
10.5.76.83,smas_srs.rotem.co.kr
10.5.83.56,im.motras.co.kr
10.5.83.68,visitex.motras.co.kr
10.5.83.226,eai.motras.co.kr
10.5.83.231,gac.motras.co.kr
10.5.84.91,cms-dev.motras.co.kr
10.5.84.107,im-dev.motras.co.kr
10.5.84.179,eai-dev.motras.co.kr
10.5.84.237,visit-dev.motras.co.kr
10.5.84.238,ims-dev.motras.co.kr
10.5.85.70,she.unitus.co.kr
10.5.85.74,gac.unitus.co.kr
10.5.85.119,sso.unitus.co.kr
10.5.85.205,cms.unitus.co.kr
10.5.85.214,visitsec.unitus.co.kr
10.5.85.220,homepage-dev.unitus.co.kr
10.5.86.65,gac-dev.unitus.co.kr
10.5.86.109,visit-dev.unitus.co.kr
10.5.86.133,cms-dev.unitus.co.kr
10.5.86.226,im-dev.unitus.co.kr
10.5.111.131,wos.hyundai-mseat.com
10.5.127.72,tdp05gn001.hkbigdata.io
10.5.127.118,tdp05dn001.hkbigdata.io
10.5.127.121,tdp05gn002.hkbigdata.io
10.5.127.124,tdp05mn002.hkbigdata.io
10.5.127.157,tdp05cn001.hkbigdata.io
10.5.127.177,tdp05dn002.hkbigdata.io
10.5.127.184,tdp05dn003.hkbigdata.io
10.5.127.206,tdp05mn001.hkbigdata.io
10.5.127.208,tdp05nn002.hkbigdata.io
10.5.127.222,tdp05nn001.hkbigdata.io
10.5.127.224,tdp05mn003.hkbigdata.io
10.5.128.26,prd.kr.core.svchub.hyundai.com
10.5.128.27,stg.kr.core.svchub.hyundai.com
10.5.128.34,h-srh.hmc.co.kr
10.5.128.83,h-vtaman.hmc.co.kr
10.5.129.33,rpas.autoever.com
10.5.129.42,aim.autoever.com
10.5.129.94,ed-recruit.autoever.com
10.5.129.98,tems.autoever.com
10.5.129.127,hris.autoever.com
10.5.129.138,hae-auth.global
10.5.129.190,pswitch.autoever.com
10.5.129.226,ableframe.autoever.com
10.5.129.233,hae-auth.global
10.5.130.21,esm.autoever.com
10.5.130.84,10.5.130.84
10.5.130.99,10.5.130.99
10.5.131.23,dev.kr.core.svchub.hyundai.com
10.5.131.34,genesis-gw-dev.hmc.co.kr
10.5.131.93,h-dev-vta.hmc.co.kr
10.5.131.169,stgiatd.hmc.co.kr
10.5.131.222,deviatd.hmc.co.kr
10.5.132.195,devsso.autoever.com
10.5.135.21,apbom.wia.co.kr
10.5.135.53,10.5.135.53
10.5.135.55,wmds.wia.co.kr
10.5.135.90,smcp.wia.co.kr
10.5.135.143,10.5.135.143
10.5.135.148,gems.wia.co.kr
10.5.135.150,isms.wia.co.kr
10.5.135.162,mtbom.wia.co.kr
10.5.135.166,rms.wia.co.kr
10.5.135.185,10.5.135.185
10.5.135.207,pms.wia.co.kr
10.5.135.216,tdm.wia.co.kr
10.5.136.112,mtbomdev.wia.co.kr
10.5.136.138,ngsisdev.wia.co.kr
10.5.136.145,apbomdev.wia.co.kr
10.5.136.160,gqisdev.wia.co.kr
10.5.136.172,pmsdev.wia.co.kr
10.5.136.235,rmsdev.wia.co.kr
10.5.137.26,my.glovis.net
10.5.137.35,giss.glovis.net
10.5.137.100,project.glovis.net
10.5.137.177,software.glovis.net
10.5.137.209,qms.glovis.net
10.5.138.42,devour.glovis.net
10.5.138.43,stggisspdf.glovis.net
10.5.138.65,devgiss.glovis.net
10.5.138.162,rotosdev.glovis.net
10.5.138.224,stggiss.glovis.net
10.5.143.21,im.powertech.co.kr
10.5.143.25,pm-tgps.tranixcorp.com
10.5.143.32,tams.hyundai-transys.com
10.5.143.51,ptplm.hyundai-transys.com
10.5.143.64,im.tranixcorp.com
10.5.143.88,tada.hyundai-transys.com
10.5.143.97,fos.hyundai-transys.com
10.5.143.101,htsbigdn002.kr.hmgcloud.com
10.5.143.102,htsbignn001.kr.hmgcloud.com
10.5.143.121,ppdb.hyundai-transys.com
10.5.143.125,htsbignn002.kr.hmgcloud.com
10.5.143.129,htsbigdn006.kr.hmgcloud.com
10.5.143.131,htsbigdn003.kr.hmgcloud.com
10.5.143.133,oos.hyundai-transys.com
10.5.143.136,nodes.tada-vision.hyundai-transys.com
10.5.143.160,htsbiggn001.kr.hmgcloud.com
10.5.143.161,htsbigdn001.kr.hmgcloud.com
10.5.143.163,htsbigdn004.kr.hmgcloud.com
10.5.143.169,htsbigmn001.kr.hmgcloud.com
10.5.143.174,nodes.tada-vision.hyundai-transys.com
10.5.143.177,ppapp.hyundai-transys.com
10.5.143.180,lm1.hyundai-transys.com
10.5.143.188,htsbigdn005.kr.hmgcloud.com
10.5.143.206,htsbigcn001.kr.hmgcloud.com
10.5.143.207,pp.hyundai-transys.com
10.5.143.228,nodes.tada-vision.hyundai-transys.com
10.5.144.40,dev-qc-tgps.hyundai-transys.com
10.5.144.52,dim.tranixcorp.com
10.5.144.60,gadev.tranixcorp.com
10.5.144.61,hrdev.tranixcorp.com
10.5.144.93,tposdev.hyundai-transys.com
10.5.144.102,tadadev.hyundai-transys.com
10.5.144.110,scheduledev.hyundai-transys.com
10.5.144.113,mkmsdev.hyundai-transys.com
10.5.144.140,ppdev.hyundai-transys.com
10.5.144.160,ssotest.hyundai-transys.com
10.5.144.185,oosdev.hyundai-transys.com
10.5.144.196,ptplmdev.hyundai-transys.com
10.5.147.24,dgms.hmckmc.co.kr
10.5.147.28,dp.hmckmc.co.kr
10.5.147.30,npms.hmc.co.kr
10.5.147.57,ade-cb.hmckmc.co.kr
10.5.147.123,dpp.hmckmc.co.kr
10.5.147.141,grafana-taas.hmckmc.com
10.5.147.162,hive-plaza.hmc.co.kr
10.5.147.209,grafana-taas.hmckmc.com
10.5.147.233,grafana-taas.hmckmc.com
10.5.148.31,gims.glovis.net
10.5.148.217,cma.glovis.net
10.5.150.24,dgms-test.hmckmc.co.kr
10.5.150.53,h-dev-csp.hmc.co.kr
10.5.150.61,h-dev-xpush.hmc.co.kr
10.5.150.62,h-dev-stt.hmc.co.kr
10.5.150.63,h-dev-vtaman.hmc.co.kr
10.5.150.69,h-dev-mi365.hmc.co.kr
10.5.150.71,dev-voc.hmc.co.kr
10.5.150.76,h-dev-ccchatmng.hmc.co.kr
10.5.150.77,hkhctidmgt01.hmc.co.kr
10.5.150.78,h-dev-ccremote.hmc.co.kr
10.5.150.79,hkhpdsdapp01.hmc.co.kr
10.5.150.80,h-dev-srh.hmc.co.kr
10.5.150.81,h-dev-helper.hmc.co.kr
10.5.150.82,h-dev-ccs01.hmc.co.kr
10.5.150.91,h-dev-var.hmc.co.kr
10.5.150.92,h-dev-rec.hmc.co.kr
10.5.150.93,h-dev-ccc02.hmc.co.kr
10.5.150.96,hdevsvy.hyundai.com
10.5.150.97,dp-test.hmckmc.co.kr
10.5.150.100,h-mon_dev.hmc.co.kr
10.5.150.144,dev-bmsadmin.hmc.co.kr
10.5.150.169,tebts.hyundai.com
10.5.150.173,stgarch.hyundai.net
10.5.150.175,npmsdev.hmc.co.kr
10.5.150.188,dev.privacy-admin.genesis.com
10.5.150.191,devarch.hyundai.net
10.5.150.237,h-tst-pin.hmc.co.kr
10.5.150.245,m.ddrumforsafety.kia.com
10.5.151.22,mes.bngsteel.com
10.5.151.51,iam.bngsteel.com
10.5.151.84,bngeacc.bngsteel.com
10.5.151.97,qics.bngsteel.com
10.5.151.134,aps.bngsteel.com
10.5.151.187,bnghr.bngsteel.com
10.5.151.196,bngb2b.bngsteel.com
10.5.151.201,ehs.bngsteel.com
10.5.151.203,sso.bngsteel.com
10.5.152.102,db2b.bngsteel.com
10.5.152.114,dsso.bngsteel.com
10.5.152.138,deaccount.bngsteel.com
10.5.152.173,dqics.bngsteel.com
10.5.152.205,dhr.bngsteel.com
10.5.152.215,dmes.bngsteel.com
10.5.152.222,daps.bngsteel.com
10.5.155.238,erp.tigers.co.kr
10.5.157.80,gmes.hyundai-kefico.com
10.5.159.21,mcps.hmckmc.co.kr
10.5.159.30,ade-conf.hmckmc.co.kr
10.5.159.33,datalab-qlty.hmckmc.co.kr
10.5.159.115,archadm.hyundai.net
10.5.159.168,archadm.hyundai.net
10.5.159.231,rbtsadm.hyundai.com
10.5.159.234,rbtsadm.hyundai.com
10.5.160.21,relay.innocean.com
10.5.160.22,ews.innocean.com
10.5.160.23,mm.innopot.com
10.5.160.24,iam.innocean.com
10.5.160.148,mailstrm.innopot.com
10.5.163.62,tssdev.hyundai-itc.com
10.5.163.223,dev.hyundai-itc.com
10.5.172.30,hhrpmspc001.haevichi.com
10.5.172.47,rhhpmspc001.haevichi.com
10.5.172.156,10.5.172.156
10.5.172.191,hhrpmspc002.haevichi.com
10.5.172.200,rhhpmspc002.haevichi.com
10.5.172.212,hhrsimpc001.haevichi.com
10.5.179.28,sasdev.rotem.co.kr
10.5.180.203,trino.hmg-rpas.com
10.5.186.157,dev-visitcheck.autoever.com
10.5.187.35,sca.autoever.com
10.5.187.74,visitcheck.autoever.com
10.5.187.129,corenect.hyundai-autoever.com
10.5.187.202,verification.routo.com
10.5.188.23,h-stt.hmc.co.kr
10.5.188.24,h-vta.hmc.co.kr
10.5.188.25,h-mi365.hmc.co.kr
10.5.188.26,h-cir01.hmc.co.kr
10.5.188.27,h-pin.hmc.co.kr
10.5.188.28,h-rec.hmc.co.kr
10.5.188.29,h-recbc.hmc.co.kr
10.5.188.30,h-gud.hmc.co.kr
10.5.188.31,h-ccc01.hmc.co.kr
10.5.188.32,h-xpush.hmc.co.kr
10.5.188.33,h-ccs02.hmc.co.kr
10.5.188.34,h-ccchatmng.hmc.co.kr
10.5.188.35,h-subsvy.hmc.co.kr
10.5.188.36,h-helper02.hmc.co.kr
10.5.188.37,h-ccremote.hmc.co.kr
10.5.188.39,hksims.hmc.co.kr
10.5.188.51,h-hkhgudpdb001.hmc.co.kr
10.5.188.80,h-hkhgudpap001.hmc.co.kr
10.5.188.103,h-ccrw1.hmc.co.kr
10.5.188.117,h-mon.hmc.co.kr
10.5.188.171,h-cst.hmc.co.kr
10.5.188.211,h-brd.hmc.co.kr
10.5.188.212,hkhgudpap002.hmc.co.kr
10.5.189.26,fod-stg.hmckmc.com
10.5.189.32,dev-www.hyundai.com
10.5.189.51,qcmps.hmc.co.kr
10.5.189.78,devcmps.hmc.co.kr
10.5.189.123,dev1webdav.kia.com
10.5.189.133,dk-icfr.kia.com
10.5.189.149,datalabqas-qlty.hmckmc.co.kr
10.5.190.22,ai-pgadmin.hmc.co.kr
10.5.190.46,ai-mariadb.hmc.co.kr
10.5.190.59,ai-rancher.hmc.co.kr
10.5.190.104,aip-guide.hmc.co.kr
10.5.192.26,dswitch.autoever.com
10.5.193.27,anly-gateway.hkbigdata.io
10.5.193.28,dap01yarn2.hkbigdata.io
10.5.193.29,dap01trinoserver.hkbigdata.io
10.5.193.30,dap01trino.hkbigdata.io
10.5.193.31,dap01db.hkbigdata.io
10.5.193.32,dap01hiveserver2.hkbigdata.io
10.5.193.33,dap01httpfs.hkbigdata.io
10.5.193.34,dap01oozie.hkbigdata.io
10.5.193.35,dap01hue.hkbigdata.io
10.5.193.36,dap01jupyter.hkbigdata.io
10.5.193.37,dap01ambari.hkbigdata.io
10.5.193.38,dap01ranger.hkbigdata.io
10.5.193.39,dap01zeppelin.hkbigdata.io
10.5.193.40,dap01hbase.hkbigdata.io
10.5.193.41,dap01hdfs.hkbigdata.io
10.5.193.42,dap01yarn.hkbigdata.io
10.5.193.43,dap01hive.hkbigdata.io
10.5.193.44,dap01spark2.hkbigdata.io
10.5.193.45,dap01spark3.hkbigdata.io
10.5.193.46,dap01tez.hkbigdata.io
10.5.193.47,dap01solr.hkbigdata.io
10.5.193.48,dap01grafana.hkbigdata.io
10.5.193.49,dap01jobhistory.hkbigdata.io
10.5.193.54,dap01mn003.hkbigdata.io
10.5.193.56,dap01nn001.hkbigdata.io
10.5.193.60,dap01gn002.hkbigdata.io
10.5.193.61,dap01gn001.hkbigdata.io
10.5.193.64,dap01nn002.hkbigdata.io
10.5.193.69,kag01kn002.hkbigdata.io
10.5.193.73,dap01mn001.hkbigdata.io
10.5.193.76,dap01cn001.hkbigdata.io
10.5.193.80,dap01mn002.hkbigdata.io
10.5.193.81,dap01dn001.hkbigdata.io
10.5.193.82,dap01dn002.hkbigdata.io
10.5.193.83,dap01dn003.hkbigdata.io
10.5.193.84,dap01dn004.hkbigdata.io
10.5.193.85,dap01dn005.hkbigdata.io
10.5.193.86,dap01dn006.hkbigdata.io
10.5.193.87,dap01dn007.hkbigdata.io
10.5.193.88,dap01dn008.hkbigdata.io
10.5.193.89,dap01dn009.hkbigdata.io
10.5.193.90,dap01dn010.hkbigdata.io
10.5.193.91,dap01dn011.hkbigdata.io
10.5.193.92,dap01dn012.hkbigdata.io
10.5.193.93,dap01dn013.hkbigdata.io
10.5.193.94,dap01dn014.hkbigdata.io
10.5.193.95,dap01dn015.hkbigdata.io
10.5.193.96,dap01dn016.hkbigdata.io
10.5.193.97,dap01dn017.hkbigdata.io
10.5.193.98,dap01dn018.hkbigdata.io
10.5.193.99,dap01dn019.hkbigdata.io
10.5.193.100,dap01dn020.hkbigdata.io
10.5.193.101,dap01dn021.hkbigdata.io
10.5.193.102,dap01dn022.hkbigdata.io
10.5.193.103,dap01dn023.hkbigdata.io
10.5.193.104,dap01dn024.hkbigdata.io
10.5.193.105,dap01dn025.hkbigdata.io
10.5.193.106,dap01dn026.hkbigdata.io
10.5.193.107,dap01dn027.hkbigdata.io
10.5.193.108,dap01dn028.hkbigdata.io
10.5.193.109,dap01dn029.hkbigdata.io
10.5.193.110,dap01dn030.hkbigdata.io
10.5.193.111,dap01dn031.hkbigdata.io
10.5.193.112,dap01dn032.hkbigdata.io
10.5.193.113,dap01dn033.hkbigdata.io
10.5.193.114,dap01dn034.hkbigdata.io
10.5.193.115,dap01dn035.hkbigdata.io
10.5.193.116,dap01dn036.hkbigdata.io
10.5.193.117,dap01dn037.hkbigdata.io
10.5.193.118,dap01dn038.hkbigdata.io
10.5.193.119,dap01dn039.hkbigdata.io
10.5.193.120,dap01dn040.hkbigdata.io
10.5.193.121,dap01dn041.hkbigdata.io
10.5.193.122,dap01dn042.hkbigdata.io
10.5.193.123,dap01dn043.hkbigdata.io
10.5.193.124,dap01dn044.hkbigdata.io
10.5.193.125,dap01dn045.hkbigdata.io
10.5.193.126,dap01dn046.hkbigdata.io
10.5.193.127,dap01dn047.hkbigdata.io
10.5.193.128,dap01dn048.hkbigdata.io
10.5.193.129,dap01dn049.hkbigdata.io
10.5.193.130,dap01dn050.hkbigdata.io
10.5.193.131,dap01dn051.hkbigdata.io
10.5.193.132,dap01dn052.hkbigdata.io
10.5.193.133,dap01dn053.hkbigdata.io
10.5.193.134,dap01dn054.hkbigdata.io
10.5.193.135,dap01dn055.hkbigdata.io
10.5.193.136,dap01dn056.hkbigdata.io
10.5.193.137,dap01dn057.hkbigdata.io
10.5.193.138,dap01dn058.hkbigdata.io
10.5.193.139,dap01dn059.hkbigdata.io
10.5.193.140,dap01dn060.hkbigdata.io
10.5.193.141,dap01dn061.hkbigdata.io
10.5.193.142,dap01dn062.hkbigdata.io
10.5.193.143,dap01dn063.hkbigdata.io
10.5.193.144,dap01dn064.hkbigdata.io
10.5.193.145,dap01dn065.hkbigdata.io
10.5.193.146,dap01dn066.hkbigdata.io
10.5.193.147,dap01dn067.hkbigdata.io
10.5.193.148,dap01dn068.hkbigdata.io
10.5.193.149,dap01dn069.hkbigdata.io
10.5.193.150,dap01dn070.hkbigdata.io
10.5.193.151,dap01dn071.hkbigdata.io
10.5.193.152,dap01dn072.hkbigdata.io
10.5.193.153,dap01dn073.hkbigdata.io
10.5.193.154,dap01dn074.hkbigdata.io
10.5.193.155,dap01dn075.hkbigdata.io
10.5.193.156,dap01dn076.hkbigdata.io
10.5.193.157,dap01dn077.hkbigdata.io
10.5.193.158,dap01dn078.hkbigdata.io
10.5.193.159,dap01dn079.hkbigdata.io
10.5.193.160,dap01dn080.hkbigdata.io
10.5.193.161,dap01dn081.hkbigdata.io
10.5.193.162,dap01dn082.hkbigdata.io
10.5.193.163,dap01dn083.hkbigdata.io
10.5.193.164,dap01dn084.hkbigdata.io
10.5.193.165,dap01dn085.hkbigdata.io
10.5.193.166,dap01dn086.hkbigdata.io
10.5.193.167,dap01dn087.hkbigdata.io
10.5.193.168,dap01dn088.hkbigdata.io
10.5.193.169,dap01dn089.hkbigdata.io
10.5.193.170,dap01dn090.hkbigdata.io
10.5.193.171,dap01dn091.hkbigdata.io
10.5.193.172,dap01dn092.hkbigdata.io
10.5.193.173,dap01dn093.hkbigdata.io
10.5.193.174,dap01dn094.hkbigdata.io
10.5.193.175,dap01dn095.hkbigdata.io
10.5.193.176,dap01dn096.hkbigdata.io
10.5.193.177,dap01dn097.hkbigdata.io
10.5.193.178,dap01dn098.hkbigdata.io
10.5.193.179,dap01dn099.hkbigdata.io
10.5.193.180,dap01dn100.hkbigdata.io
10.5.193.181,dap01dn101.hkbigdata.io
10.5.193.182,dap01dn102.hkbigdata.io
10.5.193.183,dap01dn103.hkbigdata.io
10.5.193.184,dap01dn104.hkbigdata.io
10.5.193.185,dap01dn105.hkbigdata.io
10.5.193.186,dap01dn106.hkbigdata.io
10.5.193.187,dap01dn107.hkbigdata.io
10.5.193.188,dap01dn108.hkbigdata.io
10.5.193.189,dap01dn109.hkbigdata.io
10.5.193.190,kag01kn001.hkbigdata.io
10.5.193.191,dap01dn110.hkbigdata.io
10.5.193.192,dap01dn111.hkbigdata.io
10.5.193.193,dap01dn112.hkbigdata.io
10.5.193.194,dap01dn113.hkbigdata.io
10.5.193.195,dap01dn114.hkbigdata.io
10.5.193.196,dap01dn115.hkbigdata.io
10.5.193.197,dap01dn116.hkbigdata.io
10.5.193.198,dap01dn117.hkbigdata.io
10.5.193.199,dap01dn118.hkbigdata.io
10.5.193.200,dap01dn119.hkbigdata.io
10.5.193.201,dap01dn120.hkbigdata.io
10.5.193.202,dap01dn121.hkbigdata.io
10.5.193.203,dap01dn122.hkbigdata.io
10.5.193.204,dap01dn123.hkbigdata.io
10.5.193.205,dap01dn124.hkbigdata.io
10.5.193.220,dap01gn004.hkbigdata.io
10.5.193.224,dap01gn003.hkbigdata.io
10.5.194.31,aap01afweb.hkbigdata.io
10.5.194.32,aap01pgsql.hkbigdata.io
10.5.194.33,aap01ambari.hkbigdata.io
10.5.194.34,aap01flower.hkbigdata.io
10.5.194.53,aap01mn004.hkbigdata.io
10.5.194.70,aap01wn002.hkbigdata.io
10.5.194.76,aap01wn003.hkbigdata.io
10.5.194.116,aap01mn003.hkbigdata.io
10.5.194.117,aap01mn006.hkbigdata.io
10.5.194.138,aap01mn001.hkbigdata.io
10.5.194.186,aap01mn002.hkbigdata.io
10.5.194.206,aap01mn005.hkbigdata.io
10.5.194.214,aap01wn001.hkbigdata.io
10.5.195.51,dap02cn001.hkbigdata.io
10.5.195.52,dap02gn001.hkbigdata.io
10.5.195.53,dap02gn002.hkbigdata.io
10.5.195.54,dap02mn001.hkbigdata.io
10.5.195.55,dap02mn002.hkbigdata.io
10.5.195.56,dap02mn003.hkbigdata.io
10.5.195.57,dap02nn001.hkbigdata.io
10.5.195.58,dap02nn002.hkbigdata.io
10.5.195.101,dap02dn001.hkbigdata.io
10.5.195.102,dap02dn002.hkbigdata.io
10.5.195.103,dap02dn003.hkbigdata.io
10.5.195.104,dap02dn004.hkbigdata.io
10.5.195.105,dap02dn005.hkbigdata.io
10.5.195.106,dap02dn006.hkbigdata.io
10.5.195.107,dap02dn007.hkbigdata.io
10.5.195.108,dap02dn008.hkbigdata.io
10.5.195.109,dap02dn009.hkbigdata.io
10.5.195.110,dap02dn010.hkbigdata.io
10.5.195.111,dap02dn011.hkbigdata.io
10.5.195.112,dap02dn012.hkbigdata.io
10.5.195.113,dap02dn013.hkbigdata.io
10.5.195.114,dap02dn014.hkbigdata.io
10.5.195.115,dap02dn015.hkbigdata.io
10.5.195.116,dap02dn016.hkbigdata.io
10.5.195.117,dap02dn017.hkbigdata.io
10.5.195.118,dap02dn018.hkbigdata.io
10.5.195.119,dap02dn019.hkbigdata.io
10.5.195.120,dap02dn020.hkbigdata.io
10.5.195.121,dap02dn021.hkbigdata.io
10.5.195.122,dap02dn022.hkbigdata.io
10.5.195.123,dap02dn023.hkbigdata.io
10.5.195.124,dap02dn024.hkbigdata.io
10.5.195.125,dap02dn025.hkbigdata.io
10.5.195.126,dap02dn026.hkbigdata.io
10.5.195.127,dap02dn027.hkbigdata.io
10.5.195.128,dap02dn028.hkbigdata.io
10.5.195.129,dap02dn029.hkbigdata.io
10.5.195.130,dap02dn030.hkbigdata.io
10.5.195.131,dap02dn031.hkbigdata.io
10.5.195.133,dap02dn032.hkbigdata.io
10.5.195.134,dap02dn033.hkbigdata.io
10.5.195.135,dap02dn034.hkbigdata.io
10.5.195.136,dap02dn035.hkbigdata.io
10.5.195.137,dap02dn036.hkbigdata.io
10.5.195.138,dap02dn037.hkbigdata.io
10.5.195.139,dap02dn038.hkbigdata.io
10.5.195.140,dap02dn039.hkbigdata.io
10.5.195.141,dap02dn040.hkbigdata.io
10.5.199.33,hmsms.hmc.co.kr
10.5.199.40,fod-kr.hmckmc.com
10.5.199.42,dev-ai-jenkins.hmc.co.kr
10.5.199.98,usms.hmc.co.kr
10.5.199.109,hcmps.hmc.co.kr
10.5.199.114,hcmps.hmc.co.kr
10.5.200.32,h-stg-mi365.hmc.co.kr
10.5.200.35,h-stg-vtaman.hmc.co.kr
10.5.200.43,h-stg-stt.hmc.co.kr
10.5.200.68,h-stg-rec.hmc.co.kr
10.5.200.70,h-stg-ccchatmng.hmc.co.kr
10.5.200.104,h-stg-cir01.hmc.co.kr
10.5.200.116,h-stg-hkhgudqdb001.hmc.co.kr
10.5.200.123,h-ccrw2.hmc.co.kr
10.5.200.124,h-stg-ccc01.hmc.co.kr
10.5.200.134,hkhgudqap002.hmc.co.kr
10.5.200.136,qk-icfr.kia.com
10.5.200.155,h-stg-subsvy.hmc.co.kr
10.5.200.172,h-stg-ccs02.hmc.co.kr
10.5.200.174,h-stg-vta.hmc.co.kr
10.5.200.177,h-stg-helper02.hmc.co.kr
10.5.200.187,h-stg-hkhgudqap001.hmc.co.kr
10.5.200.198,h-stg-cst.hmc.co.kr
10.5.200.209,h-stg-srh.hmc.co.kr
10.5.200.216,h-stg-pin.hmc.co.kr
10.5.200.224,h-stg-xpush.hmc.co.kr
